Image,Alpha,Beta,Min Score,Recall,MABO
1,0.1,0.1,0.01,0.0,0.067348041777106
2,0.1,0.1,0.01,0.0,0.07483847674757683
3,0.1,0.1,0.01,0.0,0.0
4,0.1,0.1,0.01,0.0,0.014498299319727891
5,0.1,0.1,0.01,0.0,0.038333833244796924
6,0.1,0.1,0.01,0.0,0.003932894520813743
7,0.1,0.1,0.01,0.0,0.02001937358734259
8,0.1,0.1,0.01,0.0,0.17787652194338957
9,0.1,0.1,0.01,0.0,0.0
10,0.1,0.1,0.01,0.0,0.3294905484445198
1,0.1,0.1,0.11,0.0,0.0
2,0.1,0.1,0.11,0.0,0.0
3,0.1,0.1,0.11,0.0,0.0
4,0.1,0.1,0.11,0.0,0.0
5,0.1,0.1,0.11,0.0,0.0
6,0.1,0.1,0.11,0.0,0.0
7,0.1,0.1,0.11,0.0,0.0
8,0.1,0.1,0.11,0.0,0.0
9,0.1,0.1,0.11,0.0,0.0
10,0.1,0.1,0.11,0.0,0.0
1,0.1,0.1,0.21000000000000002,0.0,0.0
2,0.1,0.1,0.21000000000000002,0.0,0.0
3,0.1,0.1,0.21000000000000002,0.0,0.0
4,0.1,0.1,0.21000000000000002,0.0,0.0
5,0.1,0.1,0.21000000000000002,0.0,0.0
6,0.1,0.1,0.21000000000000002,0.0,0.0
7,0.1,0.1,0.21000000000000002,0.0,0.0
8,0.1,0.1,0.21000000000000002,0.0,0.0
9,0.1,0.1,0.21000000000000002,0.0,0.0
10,0.1,0.1,0.21000000000000002,0.0,0.0
1,0.1,0.1,0.31,0.0,0.0
2,0.1,0.1,0.31,0.0,0.0
3,0.1,0.1,0.31,0.0,0.0
4,0.1,0.1,0.31,0.0,0.0
5,0.1,0.1,0.31,0.0,0.0
6,0.1,0.1,0.31,0.0,0.0
7,0.1,0.1,0.31,0.0,0.0
8,0.1,0.1,0.31,0.0,0.0
9,0.1,0.1,0.31,0.0,0.0
10,0.1,0.1,0.31,0.0,0.0
1,0.1,0.1,0.41000000000000003,0.0,0.0
2,0.1,0.1,0.41000000000000003,0.0,0.0
3,0.1,0.1,0.41000000000000003,0.0,0.0
4,0.1,0.1,0.41000000000000003,0.0,0.0
5,0.1,0.1,0.41000000000000003,0.0,0.0
6,0.1,0.1,0.41000000000000003,0.0,0.0
7,0.1,0.1,0.41000000000000003,0.0,0.0
8,0.1,0.1,0.41000000000000003,0.0,0.0
9,0.1,0.1,0.41000000000000003,0.0,0.0
10,0.1,0.1,0.41000000000000003,0.0,0.0
1,0.1,0.1,0.51,0.0,0.0
2,0.1,0.1,0.51,0.0,0.0
3,0.1,0.1,0.51,0.0,0.0
